Word	Part of speech	meaning	source
manol	adjective	ignorant	https://en.m.wiktionary.org/wiki/manol
manol	noun	ignoramus	https://en.m.wiktionary.org/wiki/manol
garuk	noun	filth	https://en.m.wiktionary.org/wiki/garuk
garuk	verb	corrupt	https://en.m.wiktionary.org/wiki/garuk
lanog	noun	weal ; bruise , black eye	https://en.m.wiktionary.org/wiki/lanog
lanog	adjective	bruised	https://en.m.wiktionary.org/wiki/lanog
bugalon	verb	to be or become proud	https://en.m.wiktionary.org/wiki/bugalon
hangga	noun	smallpox	https://en.m.wiktionary.org/wiki/hangga
damgohon	verb	to dream	https://en.m.wiktionary.org/wiki/damgohon
dugos	noun	honey	https://en.m.wiktionary.org/wiki/dugos
dulot	noun	dedication ; gift ; present	https://en.m.wiktionary.org/wiki/dulot
ilaga	noun	mouse Synonym: balabaw	https://en.m.wiktionary.org/wiki/ilaga
daug	verb	defeat , succeed , triumph , win	https://en.m.wiktionary.org/wiki/daug
mainit	adjective	hot Antonym: malamig	https://en.m.wiktionary.org/wiki/mainit
ahensya	noun	agency	https://en.m.wiktionary.org/wiki/ahensya
ahensya	noun	pawnshop	https://en.m.wiktionary.org/wiki/ahensya
pulut	adjective	( of rope ) firmly twisted	https://en.m.wiktionary.org/wiki/pulut
pulut	adjective	( of liquid ) thick	https://en.m.wiktionary.org/wiki/pulut
pulut	verb	to thicken	https://en.m.wiktionary.org/wiki/pulut
pulut	verb	to pick up from the floor or ground	https://en.m.wiktionary.org/wiki/pulut
paagaw	verb	causative of ágao	https://en.m.wiktionary.org/wiki/paagaw
baroto	noun	dugout ; canoe	https://en.m.wiktionary.org/wiki/baroto
gal-um	noun	raincloud	https://en.m.wiktionary.org/wiki/gal-um
gal-um	noun	mist or fog , haze	https://en.m.wiktionary.org/wiki/gal-um
pader	noun	stone or concrete wall or fence	https://en.m.wiktionary.org/wiki/pader
ayam-ayam	noun	ant	https://en.m.wiktionary.org/wiki/ayam-ayam
pelikula	noun	pellicle ; film	https://en.m.wiktionary.org/wiki/pelikula
pelikula	noun	film ; movie ; motion picture	https://en.m.wiktionary.org/wiki/pelikula
dagway nga makahuhuya	adjective	shabby	https://en.m.wiktionary.org/wiki/dagway%20nga%20makahuhuya
buho-buho	noun	diminutive of búhò : a small hole , perforation , or pore	https://en.m.wiktionary.org/wiki/buho-buho
utang	noun	debt	https://en.m.wiktionary.org/wiki/utang
utang	noun	credit	https://en.m.wiktionary.org/wiki/utang
utang	verb	to have a debt ; to owe	https://en.m.wiktionary.org/wiki/utang
utang	verb	to borrow in credit	https://en.m.wiktionary.org/wiki/utang
luy-a	noun	ginger ( Zingiber officinale )	https://en.m.wiktionary.org/wiki/luy-a
luy-a	noun	rhizome of this plant	https://en.m.wiktionary.org/wiki/luy-a
malipayon	adjective	happy	https://en.m.wiktionary.org/wiki/malipayon
marabo	adjective	tasty , savoury Antonym: maganás	https://en.m.wiktionary.org/wiki/marabo
abo-abohon	adjective	ashen , ash -colored, grey , pale	https://en.m.wiktionary.org/wiki/abo-abohon
lala-lala	verb	diminutive of lála	https://en.m.wiktionary.org/wiki/lala-lala
almon	noun	tree	https://en.m.wiktionary.org/wiki/almon
bangkay	noun	cadaver ; corpse Synonyms: lawas , patay	https://en.m.wiktionary.org/wiki/bangkay
sambag	noun	tamarind ( Tamarindus indica )	https://en.m.wiktionary.org/wiki/sambag
aritos	noun	earring	https://en.m.wiktionary.org/wiki/aritos
baw-as	adjective	( usually said of women ) barren , childless	https://en.m.wiktionary.org/wiki/baw-as
pililion	noun	nominee , one who is worthy or desirable to be chosen	https://en.m.wiktionary.org/wiki/pililion
