word,pos_symbol,pos_word,meaning
a,pt,particle,"oh, well, hesitating filler."
-a,va,verbal affix,affix.
abakáda,n,noun,alphabet.
abága,n,noun,shoulder.
abalóryo,n,noun,"rosary beads, strung beads, necklace."
ábay,n,noun,"of weddings, witness."
abáw,intj,interjection,"oh, wow, really."
aberíya,v,verb,"to have engine trouble, to stop."
abí’,pt,particle,"let me see, would you please, hey, excuse please."
ábi’ábi,v,verb,"to greet, to shake hands with."
ábi’ábi,adj,adjective,"kind, friendly, civil."
abogádo,n,noun,"lawyer, attorney-at-law."
abóso,n,noun,abuse.
abóso,v,verb,"to abuse, to take advantage of."
ábri,v,verb,"to unlock, to unfasten, to open."
abríl,n,noun,april.
ábtik,adj,adjective,"active, brisk, lively."
abú,n,noun,ash.
abúnu,n,noun,fertilizer.
abúnu,v,verb,to fertilize.
abút,v,verb,"to arrive, to reach, to come to."
abút,adj,adjective,"cranky, irritable, moody."
alabútun,na,noun formative,ang tigúlang.
ábyan,n,noun,"friend, buddy."
ákig,n,noun,"anger, hatred."
ákig,v,verb,"to be angry, to scold."
akú,pr,pronoun,"i, me (first person singular nominal pronoun)."
áku’,v,verb,"to own, to claim, to promise, to swear, to admit."
ákun,pr,pronoun,"my, mine (first person singular pre-possessive pronoun)."
ádlaw,n,noun,"day, birthday, anniversary."
ádlaw’ádlaw,adv,adverb,"daily, everyday."
-ado,aa,adjective formative,formative affix designating conditions or state of being.
ága,n,noun,morning.
agálun,n,noun,"master, boss."
ágaw,v,verb,"to grab, to seize, to take by force, to usurp."
ágay,v,verb,"to flow slowly, to drip in small drops."
ágbay,v,verb,to put one’s arm on or about the shoulder of another person.
ágda,v,verb,"to ask, to invite."
ági,n,noun,"handwriting;  way, means."
ági,v,verb,"to pass by for something, to pass through."
agí’,n,noun,hermaphrodite.
agí’,adj,adjective,"effeminate, sissy."
agósto,n,noun,august.
agrimensór,n,noun,surveyor.
ágsa,v,verb,to work another’s field for part of the produce.
ágsa,n,noun,tenant.
ágsik,v,verb,"to fly off, to scatter, to spray."
ágtang,n,noun,forehead.
agúd,con,conjunction,so that.
águm,v,verb,"to obtain, to attain, to achieve, to possess."
águm,n,noun,"possessions, things."
ágwa,n,noun,"perfume, cologne."
agwánta,v,verb,"to bear, to tolerate, to suffer."
ahá’,v,verb,"to insist, to ask fervently."
ahénsya,n,noun,pawnshop.
ahénte,n,noun,agent.
áhos,n,noun,garlic.
alabá’ab,adj,adjective,"of liquid, lukewarm."
álak,n,noun,"hard drink, liquor."
alágad,n,noun,adopted person.
alágad,v,verb,"to adopt, to take care of someone."
aláhas,n,noun,jewelry.
álam,n,noun,"wisdom, knowledge."
álam,adj,adjective,"bright, smart, brilliant."
álam,v,verb,"to become smart, to become brilliant."
alámbre,n,noun,wire.
alangá’ang,n,noun,slight fever.
alangá’ang,adj,adjective,"feverish, having a slight temperature."
álang’álang,adj,adjective,"doubtful, immature."
álang’álang,v,verb,to hesitate.
alangáy,adj,adjective,"equal, the same."
alás,pt,particle,time particle used with time-telling from dos until dose.
álat,n,noun,saltiness.
álat,adj,adjective,salty.
alát,n,noun,native basket made of woven bamboo strips.
álay,v,verb,to be still through constant tension of the muscles.
aláy’ay,v,verb,"to cradle, to support, to hold arms under some person or thing so as to support."
alkálde,n,noun,mayor.
alkánse,n,noun,loss in terms of money.
alkánse,v,verb,"to lose some amount due to mismanagement in selling, to fail to gain."
alkánse,na,noun formative,’alkánse akú sa pagbalígya’.
alkansíya,n,noun,"coin bank, empty coconut shell used as a coin bank."
alkítran,n,noun,"tar, asphalt."
alibángbang,n,noun,butterfly.
aligútgut,n,noun,"rage, wrath."
alimángu,n,noun,crab.
alipúlus,n,noun,"cyclone, eddy."
alíntun,v,verb,"to transfer, to hand down."
alísto,adj,adjective,"alert, ready, prompt."
almasín,n,noun,"store, small market."
almidól,n,noun,starch.
almiránte,n,noun,"of the navy, admiral."
alpabéto,n,noun,alphabet.
alpómbra,n,noun,"carpet, rug."
álsa,v,verb,"to raise, to lift, to elevate slightly."
alúm,n,noun,mole.
alúng’ung,n,noun,"opinion, idea, thought, knowledge."
áman,v,verb,to prepare.
amargóso,n,noun,bitter melon.
amát’amát,adv,adverb,"gradually, little by little."
amát’amát,v,verb,"to start slowly, to gain speed, to leave one by one."
amáy,n,noun,father.
ámba,n,noun,"prayer, chant, song."
ámba,v,verb,"to sing, to pray, to adore."
ámbit,v,verb,"to participate, to share in."
ámbung,n,noun,"radiance, beauty."
ámbung,adj,adjective,"radiant, effulgent, beautiful."
ámbut,id,idiom,i don’t know.
amérika,n,noun,america.
amerikána,n,noun,"formal coat for men, female american citizen."
amerikáno,n,noun,american citizen.
amidúl,n,noun,variant of almidúl.
amígo,n,noun,"friend, buddy."
amimíluk,n,noun,eyelash.
amínhan,n,noun,north.
ámlig,v,verb,"to handle with care, to be, careful."
ámpu’,n,noun,"prayer, pleading."
ámpu’,v,verb,"to pray, to beseech, to beg, to plead."
ámu,n,noun,"boss, employer, master."
amú,pr,pronoun,"it, that."
amú,adv,adverb,similarly.
amú’,n,noun,monkey.
amúma,v,verb,"to be hospitable, to entertain."
ámun,pr,pronoun,"our, ours (first person exclusive plural pre-possessive pronoun)."
ámut,n,noun,"subscription, donation, contribution."
ámut,v,verb,"to contribute, to help by giving something."
ámyun,adj,adjective,fragrant.
1-an,va,verbal affix,"infinitive, benefactive-locative focus affix."
2-an,va,verbal affix,designating reciprocity of action.
3-an,na,noun formative,noun formative affix designating a container or a place where an action occurs.
anák,n,noun,child.
anák,v,verb,"to bear a child, to give birth, to be godparent to a child during baptism or confirmation."
1-anan,na,noun formative,noun formative affix denoting reciprocal action.
2-anan,va,verbal affix,designating reciprocity of action.
anád,adj,adjective,"usual, sophisticated, accustomed to."
anád,v,verb,"to be accustomed to, to make familiar through experience."
ánay,pt,particle,"please, wait a minute."
ánay,n,noun,termite.
-ánay,na,noun formative,variant of -ánan.
ánaw,n,noun,"deluge, great flood."
ándam,v,verb,"to be cautious, to be careful, to beware, to be prepared."
andámyu,n,noun,gangplank.
ándar,v,verb,"to function, to work."
anhíng,adj,adjective,"late, departed, living comparatively recently."
áni,n,noun,"harvest, produce."
áni,v,verb,"to harvest, to reap."
aningál,v,verb,to have the delusion of hearing a familiar sound.
ántes,adv,adverb,"earlier, before, in advance, previously."
antígu,v,verb,"to know, to be knowledgeable."
ánting’ánting,n,noun,"amulet, talisman."
antipatikú,adj,adjective,"unsympathetic, settled aversion."
ántud,adj,adjective,"fetid, of odor, burnt."
ántus,v,verb,"to bear, to suffer, to endure."
antyúhus,n,noun,"spectacles, eyeglasses."
anu,pr,pronoun,what.
anu,v,verb,"to become, to do with."
ánud,v,verb,"to drift, to flow with the current."
ánum,num,numeral,six.
1-ánun,aa,adjective formative,formative affix attached to nouns to designate abundance in possession.
2-anun,na,noun formative,noun formative affix designating state of being.
anúnsyo,n,noun,"announcement, broadcast."
anúnsyo,v,verb,"to announce, to broadcast, to make public."
ányag,adj,adjective,"beautiful, pretty."
ányo,n,noun,year.
áng,pt,particle,definite noun marker.
ángay,adj,adjective,"appropriate, becoming."
ángay,v,verb,"to be well matched, to be equal, to look becoming, to fit."
ángkab,v,verb,"of animals, to snap, to bite, to seize with teeth so as to grip or bite."
ángkla,n,noun,anchor.
ángkun,v,verb,"to acquire, to attain, to possess."
ángga’,n,noun,"nickname, pet name."
ángga’,v,verb,"to fondle, to caress, to pet, to care for very much."
ánggid,adj,adjective,"alike, similar."
ánggid,v,verb,"to be alike, to compare."
angút,v,verb,"to join together, to tie together, to fasten together."
ápa,n,noun,cone.
apá’,n,noun,"mute, dumb."
ápang,con,conjunction,"but, however."
aparadór,n,noun,"closet, cabinet."
ápas,v,verb,"to follow, to go after."
ápat,num,numeral,four;  forty; /ika-/ fourth; /napulug-/ fourteen.
ápdu,n,noun,gall bladder.
apelyédo,n,noun,"surname, last name."
ápin,v,verb,"to support, to side with, to be an ally to, to defend."
apínas,adj,adjective,scarce.
aplá’ag,v,verb,"to spread, to break and scatter."
apú,n,noun,grandchild.
ápuk,v,verb,"to throw, to be blown aside."
ápug,n,noun,lime.
apurá,v,verb,"to make haste, to hasten."
ára’,d,deictic,there (short form to mean far from the speaker).
arádu,n,noun,plow.
arádu,v,verb,"to plow, to use a plow to break up or turn the soil."
árko,n,noun,arch.
aresgádo,adj,adjective,"adventurous, daring, foolhardy."
ári,d,deictic,here (short form to mean near the speaker).
arí’arí,adj,adjective,stunted in growth.
aritmétika,n,noun,arithmetic.
arítus,n,noun,earring.
ármas,n,noun,"weapon, arms."
árte,n,noun,"art, design, decoration;  actor, actress."
